Date,Open,High,Low,Close,Adj Close,Volume
2023-10-12,31.253000,31.555000,29.226000,29.320999,29.320999,40555000
2023-10-13,29.299999,29.698999,27.759001,28.520000,28.520000,37952000
2023-10-16,28.479000,29.427000,27.785999,29.169001,29.169001,24176000
2023-10-17,28.100000,30.056000,27.427999,29.854000,29.854000,42879000
2023-10-18,29.270000,29.827000,28.146000,28.503000,28.503000,32132000
2023-10-19,28.750000,28.948999,26.375000,26.504999,26.504999,40216000
2023-10-20,26.471001,26.665001,24.804001,24.858000,24.858000,36142000
2023-10-23,24.615000,25.797001,23.865999,25.489000,25.489000,29471000
2023-10-24,25.990000,26.525000,25.319000,26.261999,26.261999,25149000
2023-10-25,26.125000,26.666000,25.280001,25.399000,25.399000,22382000
2023-10-26,25.238001,25.334999,23.466999,23.945999,23.945999,31039000
2023-10-27,24.799999,24.899000,23.959000,24.139999,24.139999,18117000
2023-10-30,24.584999,24.830999,23.287001,23.662001,23.662001,26313000
2023-10-31,23.636999,24.238001,22.659000,23.947001,23.947001,19313000
2023-11-01,24.129999,25.400000,24.121000,25.226999,25.226999,38150000
2023-11-02,26.076000,26.350000,22.737000,24.590000,24.590000,74670000
2023-11-03,24.936001,26.858999,24.832001,25.500000,25.500000,50001000
2023-11-06,25.770000,25.999001,24.920000,25.259001,25.259001,25232000
2023-11-07,25.299999,26.100000,25.021000,25.438000,25.438000,19305000
2023-11-08,25.540001,26.403999,25.224001,26.027000,26.027000,21287000
2023-11-09,26.620001,28.018000,26.103001,26.488001,26.488001,40156000
2023-11-10,26.761999,27.235001,26.351000,26.603001,26.603001,25303000
2023-11-13,26.475000,26.506001,25.309999,25.580000,25.580000,29892000
2023-11-14,26.600000,29.466999,26.452999,29.386999,29.386999,62504000
2023-11-15,29.495001,29.747999,28.313999,28.778000,28.778000,36055000
2023-11-16,28.299999,28.929001,27.799999,28.367001,28.367001,18334000
2023-11-17,28.500000,29.542999,28.370001,28.858999,28.858999,23318000
2023-11-20,28.900000,30.589001,28.900000,30.459999,30.459999,29063000
2023-11-21,29.900000,30.299000,28.965000,28.985001,28.985001,28861000
2023-11-22,29.320000,30.160000,27.652000,28.666000,28.666000,39728000
2023-11-24,28.356001,28.830000,28.066999,28.566999,28.566999,9655000
2023-11-27,28.410999,29.837000,28.351999,29.037001,29.037001,23570000
2023-11-28,29.103001,29.549000,28.205999,28.561001,28.561001,23327000
2023-11-29,29.128000,30.652000,28.674999,28.763000,28.763000,36634000
2023-11-30,28.988001,29.173000,26.771999,27.347000,27.347000,40837000
2023-12-01,26.226000,27.070000,26.025000,26.962999,26.962999,42976000
2023-12-04,26.719999,26.916000,25.681000,26.635000,26.635000,29598000
2023-12-05,26.344999,26.993999,25.971001,26.296000,26.296000,25598000
2023-12-06,26.750000,26.806000,25.337000,25.341999,25.341999,28599000
2023-12-07,25.549999,25.850000,25.129000,25.615000,25.615000,23997000
2023-12-08,25.500000,27.420000,25.461000,27.264999,27.264999,31575000
2023-12-11,26.304001,27.070000,25.702000,26.226000,26.226000,31360000
2023-12-12,26.157000,26.855000,25.825001,26.537001,26.537001,21783000
2023-12-13,26.700001,27.561001,26.250000,27.332001,27.332001,27358000
2023-12-14,27.799999,29.632999,27.790001,29.440001,29.440001,45441000
2023-12-15,29.500000,30.191000,29.246000,30.011000,30.011000,37527000
2023-12-18,30.441999,32.755001,30.295000,32.219002,32.219002,57410000
2023-12-19,31.500000,32.133999,30.801001,31.594000,31.594000,40143000
2023-12-20,31.551001,32.062000,30.108000,30.208000,30.208000,31229000
2023-12-21,30.893999,31.398001,30.073000,30.417999,30.417999,25084000
2023-12-22,30.757000,30.924999,28.504999,28.972000,28.972000,44395000
2023-12-26,29.091000,29.671000,28.743999,29.433001,29.433001,24221000
2023-12-27,29.799999,29.900000,29.084999,29.500000,29.500000,14117000
2023-12-28,29.361000,29.725000,29.063999,29.145000,29.145000,12651000
2023-12-29,29.150999,29.334000,28.017000,28.426001,28.426001,21044000
